BW    336 #MHz
FRES  1 #MHz
NFRB 10000 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 4.4 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 9 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 1488   648.3  35    563.3  0.282    19.3    1.0
FRB 1489   667.8  35    582.8  0.189    15.0    5.0
FRB 1490   478.1  35    393.1  0.453    26.2    2.0
FRB 1491   186.6  35    101.6  0.081    57.9    2.0
FRB 1492   515.3  35    430.3  0.266    18.8    2.0
FRB 1493   277.7  35    192.7  0.138    10.2    4.0
FRB 1494   268.9  35    183.9  0.211    91.5    2.0
FRB 1495   375.2  35    290.2  0.268     9.8    3.0
FRB 1496   393.8  35    308.8  0.409    12.1    1.0
FRB 1497   740.0  35    655.0  0.491     9.3    2.0
FRB 1498   611.9  35    526.9  0.052    13.6    3.0
FRB 1499   530.5  35    445.5  0.189     9.7    2.0
FRB 1500   611.1  35    526.1  0.414    12.3    1.0
FRB 1501  1019.2  35    934.2  0.500    13.6    2.0
FRB 1502   943.4  35    858.4  0.312    26.9    1.0
FRB 1503   587.1  35    502.1  0.038    22.7    4.0
FRB 1504  1138.4  35   1053.4  0.242    11.2    1.0
FRB 1505   536.2  35    451.2  0.114    20.0    0.0
FRB 1506   331.0  35    246.0  0.153    42.7    2.0
FRB 1507   314.9  35    229.9  0.150    23.5    3.0
FRB 1508   172.6  35     87.6  0.083    22.2    4.0
FRB 1509   198.6  35    113.6  0.143    24.5    5.0
FRB 1510   589.7  35    504.7  0.567     9.4    1.0
FRB 1511   360.0  35    275.0  0.004    13.8    3.0
FRB 1512   254.0  35    169.0  0.076   356.9    2.0
FRB 1513   879.5  35    794.5  0.251    13.9    2.0
FRB 1514   163.1  35     78.1  0.017     9.4    1.0
FRB 1515   417.5  35    332.5  0.183    13.4    3.0
FRB 1516   193.6  35    108.6  0.173    15.1    5.0
FRB 1517   182.4  35     97.4  0.149    31.3    2.0
FRB 1518   151.9  35     66.9  0.065    17.7    5.0
FRB 1519   358.2  35    273.2  0.365    42.5    2.0
FRB 1520   440.0  35    355.0  0.114    26.5    3.0
FRB 1521   457.8  35    372.8  0.378    10.9    4.0
FRB 1522   291.6  35    206.6  0.313    10.5    3.0
FRB 1523   357.9  35    272.9  0.164    10.1    2.0
FRB 1524   435.3  35    350.3  0.302    16.0    2.0
FRB 1525   290.7  35    205.7  0.303    18.0    2.0
FRB 1526   291.5  35    206.5  0.066    10.4    3.0
FRB 1527   604.9  35    519.9  0.143    12.6    3.0
FRB 1528   435.2  35    350.2  0.355     9.4    3.0
FRB 1529   289.7  35    204.7  0.200    12.3    2.0
FRB 1530   627.5  35    542.5  0.169    13.0    3.0
FRB 1531   383.9  35    298.9  0.184    16.9    2.0
FRB 1532   117.6  35     32.6  0.026    31.2    1.0
FRB 1533  1216.4  35   1131.4  0.165    15.5    2.0
FRB 1534   809.5  35    724.5  0.652    10.9    2.0
FRB 1535   237.6  35    152.6  0.059     9.1    3.0
FRB 1536   199.0  35    114.0  0.165    22.7    1.0
FRB 1537   294.3  35    209.3  0.263    12.8    3.0
FRB 1538   161.6  35     76.6  0.036    28.8    2.0
FRB 1539   217.0  35    132.0  0.047    10.5    3.0
FRB 1540   197.8  35    112.8  0.105    21.0    2.0
FRB 1541   740.3  35    655.3  0.061     9.2    2.0
FRB 1542   506.1  35    421.1  0.263    10.7    2.0
FRB 1543   162.0  35     77.0  0.077    12.8    2.0
FRB 1544   393.0  35    308.0  0.314    35.9    1.0
FRB 1545   479.4  35    394.4  0.480    12.9    2.0
FRB 1546   411.5  35    326.5  0.233    20.9    3.0
FRB 1547   271.4  35    186.4  0.012     9.0    3.0
FRB 1548   427.6  35    342.6  0.051    16.8    4.0
FRB 1549   762.6  35    677.6  0.089     9.4    3.0
FRB 1550   616.6  35    531.6  0.762    12.9    2.0
FRB 1551   475.4  35    390.4  0.408    13.2    3.0
FRB 1552   242.1  35    157.1  0.050    12.8    2.0
FRB 1553   187.4  35    102.4  0.029    26.3    2.0
FRB 1554   373.0  35    288.0  0.061    49.3    2.0
FRB 1555   356.7  35    271.7  0.029    61.8    2.0
FRB 1556   274.3  35    189.3  0.077    13.8    0.0
FRB 1557   297.3  35    212.3  0.031     9.1    2.0
FRB 1558   430.4  35    345.4  0.131    25.4    3.0
FRB 1559   223.8  35    138.8  0.106    15.3    2.0
FRB 1560   231.1  35    146.1  0.193    11.3    3.0
FRB 1561   245.0  35    160.0  0.162    11.1    2.0
FRB 1562   669.1  35    584.1  0.770     9.4    1.0
FRB 1563   476.6  35    391.6  0.188    25.5    2.0
FRB 1564   677.2  35    592.2  0.333    11.0    4.0
FRB 1565   141.3  35     56.3  0.033   152.0    3.0
FRB 1566   668.9  35    583.9  0.639    10.6    2.0
FRB 1567   574.3  35    489.3  0.599    12.6    2.0
FRB 1568   640.8  35    555.8  0.379     9.4    1.0
FRB 1569   596.9  35    511.9  0.635    18.3    2.0
FRB 1570   524.7  35    439.7  0.130    14.4    1.0
FRB 1571   398.6  35    313.6  0.381    12.9    3.0
FRB 1572   531.5  35    446.5  0.305    18.5    2.0
FRB 1573   239.8  35    154.8  0.123    10.5    5.0
FRB 1574   261.0  35    176.0  0.088    16.7    1.0
FRB 1575  1065.2  35    980.2  0.168    96.4    1.0
FRB 1576  1234.2  35   1149.2  0.431    10.4    3.0
FRB 1577   821.8  35    736.8  0.207    22.4    3.0
FRB 1578   530.0  35    445.0  0.375    14.6    2.0
FRB 1579   523.4  35    438.4  0.208    25.8    2.0
FRB 1580   441.8  35    356.8  0.210    13.0    3.0
FRB 1581   119.4  35     34.4  0.040    16.1    3.0
FRB 1582   237.4  35    152.4  0.134    10.5    2.0
FRB 1583   732.2  35    647.2  0.260    30.1    3.0
FRB 1584   174.9  35     89.9  0.153    15.7    4.0
FRB 1585   548.6  35    463.6  0.604    65.0    2.0
FRB 1586   357.7  35    272.7  0.232    13.0    2.0
FRB 1587   290.6  35    205.6  0.120    40.9    3.0
FRB 1588   370.8  35    285.8  0.276    30.9    3.0
FRB 1589   372.6  35    287.6  0.025    21.9    3.0
FRB 1590   337.0  35    252.0  0.269    60.0    4.0
FRB 1591   561.5  35    476.5  0.025    17.2    4.0
FRB 1592   475.8  35    390.8  0.266    10.1    3.0
FRB 1593   475.4  35    390.4  0.632    12.3    2.0
FRB 1594   513.3  35    428.3  0.390    17.0    2.0
FRB 1595   735.2  35    650.2  0.114    22.6    3.0
FRB 1596   341.1  35    256.1  0.425    10.6    3.0
FRB 1597   154.2  35     69.2  0.022     9.9    3.0
FRB 1598   545.5  35    460.5  0.244    12.5    2.0
FRB 1599   345.1  35    260.1  0.186    12.7    3.0
FRB 1600   246.1  35    161.1  0.184    26.5    2.0
FRB 1601   588.6  35    503.6  0.390    27.5    2.0
FRB 1602   446.5  35    361.5  0.289    11.2    3.0
FRB 1603   461.9  35    376.9  0.131     9.9    3.0
FRB 1604   691.9  35    606.9  0.543    12.5    2.0
FRB 1605   529.9  35    444.9  0.354    20.6    4.0
FRB 1606   346.1  35    261.1  0.408    11.7    3.0
FRB 1607   319.1  35    234.1  0.224    15.8    4.0
FRB 1608   303.3  35    218.3  0.107   120.1    3.0
FRB 1609   342.3  35    257.3  0.096   111.7    3.0
FRB 1610   769.7  35    684.7  0.543    12.0    1.0
FRB 1611  1848.2  35   1763.2  0.084    36.0    2.0
FRB 1612   673.4  35    588.4  0.174    17.4    2.0
FRB 1613   196.3  35    111.3  0.087    25.2    2.0
FRB 1614   549.2  35    464.2  0.296    11.1    3.0
FRB 1615   326.9  35    241.9  0.203    31.2    1.0
FRB 1616   329.0  35    244.0  0.064    94.0    4.0
FRB 1617   527.2  35    442.2  0.188    14.8    1.0
FRB 1618   549.9  35    464.9  0.074    10.7    1.0
FRB 1619   582.4  35    497.4  0.374    16.5    4.0
FRB 1620   444.6  35    359.6  0.289    13.6    1.0
FRB 1621   264.3  35    179.3  0.047    14.9    4.0
FRB 1622   417.7  35    332.7  0.258    25.0    1.0
FRB 1623   571.9  35    486.9  0.702     9.7    2.0
FRB 1624   455.8  35    370.8  0.276    15.1    3.0
FRB 1625   230.2  35    145.2  0.164    12.6    5.0
FRB 1626   266.1  35    181.1  0.145    17.4    3.0
FRB 1627   332.0  35    247.0  0.130     9.7    3.0
FRB 1628   379.5  35    294.5  0.103    10.2    3.0
FRB 1629  2309.1  35   2224.1  0.069    92.9    4.0
FRB 1630   185.2  35    100.2  0.016    11.1    4.0
FRB 1631   396.5  35    311.5  0.133    50.6    2.0
FRB 1632   811.1  35    726.1  0.467    16.5    2.0
FRB 1633   431.6  35    346.6  0.291    37.2    2.0
FRB 1634   356.1  35    271.1  0.142    38.7    3.0
FRB 1635   273.1  35    188.1  0.269    11.6    3.0
FRB 1636   362.9  35    277.9  0.084    13.8    1.0
FRB 1637   311.6  35    226.6  0.318    22.3    2.0
FRB 1638   271.2  35    186.2  0.179    27.1    2.0
FRB 1639   342.6  35    257.6  0.137     9.4    2.0
FRB 1640   412.2  35    327.2  0.283    58.5    4.0
FRB 1641   273.4  35    188.4  0.203    19.1    4.0
FRB 1642   400.7  35    315.7  0.174    32.2    2.0
FRB 1643   503.5  35    418.5  0.074    96.4    4.0
FRB 1644   325.0  35    240.0  0.141    12.7    1.0
FRB 1645   409.9  35    324.9  0.505    39.4    2.0
FRB 1646   292.0  35    207.0  0.061    10.0    0.0
FRB 1647  1111.3  35   1026.3  0.164    11.1    1.0
FRB 1648   507.6  35    422.6  0.103    16.9    2.0
FRB 1649   196.4  35    111.4  0.144     9.2    1.0
FRB 1650   276.6  35    191.6  0.207    33.1    4.0
FRB 1651   195.6  35    110.6  0.023    11.8    4.0
FRB 1652   280.8  35    195.8  0.071    22.0    2.0
FRB 1653   345.3  35    260.3  0.050    10.0    3.0
FRB 1654   410.5  35    325.5  0.363    10.7    3.0
FRB 1655   440.9  35    355.9  0.544    10.7    2.0
FRB 1656   430.1  35    345.1  0.312    18.2    3.0
FRB 1657   227.6  35    142.6  0.149    13.8    2.0
FRB 1658   361.4  35    276.4  0.132    73.8    2.0
FRB 1659   392.4  35    307.4  0.267    26.3    3.0
FRB 1660   265.6  35    180.6  0.255    10.0    3.0
FRB 1661   409.2  35    324.2  0.433    30.0    2.0
FRB 1662   820.7  35    735.7  0.438    20.4    3.0
FRB 1663   494.1  35    409.1  0.482    10.5    3.0
FRB 1664   289.2  35    204.2  0.076    14.7    3.0
FRB 1665   420.8  35    335.8  0.311    32.3    3.0
FRB 1666   134.1  35     49.1  0.022    43.0    3.0
FRB 1667   427.2  35    342.2  0.225    10.7    4.0
FRB 1668   397.1  35    312.1  0.396    10.7    3.0
FRB 1669   402.6  35    317.6  0.091    32.7    2.0
FRB 1670   833.1  35    748.1  0.385    11.7    1.0
FRB 1671   540.1  35    455.1  0.035    17.0    0.0
FRB 1672   495.4  35    410.4  0.225    11.2    1.0
FRB 1673   258.3  35    173.3  0.138    14.5    1.0
FRB 1674   252.4  35    167.4  0.007    37.1    3.0
FRB 1675   177.2  35     92.2  0.071    11.7    1.0
FRB 1676   377.3  35    292.3  0.178   116.0    3.0
FRB 1677   472.0  35    387.0  0.553    43.9    1.0
FRB 1678   153.9  35     68.9  0.035    74.4    2.0
FRB 1679   390.2  35    305.2  0.126    34.4    1.0
FRB 1680   414.8  35    329.8  0.382    24.7    1.0
FRB 1681   286.1  35    201.1  0.316    12.5    4.0
FRB 1682   655.1  35    570.1  0.139    38.3    0.0
FRB 1683   493.6  35    408.6  0.429     9.5    2.0
FRB 1684   357.5  35    272.5  0.113    14.3    2.0
FRB 1685   136.7  35     51.7  0.067    17.1    4.0
FRB 1686   131.2  35     46.2  0.031    10.3    0.0
FRB 1687   749.7  35    664.7  0.261    10.8    2.0
FRB 1688   452.2  35    367.2  0.216    11.9    3.0
FRB 1689   258.8  35    173.8  0.281    13.5    2.0
FRB 1690   650.9  35    565.9  0.036    86.1    1.0
FRB 1691   308.2  35    223.2  0.311    18.4    2.0
FRB 1692   244.5  35    159.5  0.091    19.1    2.0
FRB 1693   143.1  35     58.1  0.016    13.5    4.0
FRB 1694   568.4  35    483.4  0.460    19.2    1.0
FRB 1695  2364.2  35   2279.2  0.059    48.5    3.0
FRB 1696   754.1  35    669.1  0.078    15.5    2.0
FRB 1697   498.7  35    413.7  0.113    10.0    3.0
FRB 1698   356.3  35    271.3  0.002    17.5    2.0
FRB 1699   375.2  35    290.2  0.391    11.8    2.0
FRB 1700   273.2  35    188.2  0.214    11.4    4.0
FRB 1701   536.1  35    451.1  0.489    17.0    2.0
FRB 1702   518.3  35    433.3  0.230     9.8    2.0
FRB 1703   186.5  35    101.5  0.092     9.6    2.0
FRB 1704   419.9  35    334.9  0.169    13.8    2.0
FRB 1705   482.3  35    397.3  0.418    15.7    2.0
FRB 1706   228.0  35    143.0  0.041    13.8    4.0
FRB 1707   628.5  35    543.5  0.342    11.8    3.0
FRB 1708   674.7  35    589.7  0.243    10.8    5.0
FRB 1709   815.0  35    730.0  0.105    21.4    2.0
FRB 1710   515.5  35    430.5  0.105    34.4    2.0
FRB 1711   465.3  35    380.3  0.387    18.6    3.0
FRB 1712   223.9  35    138.9  0.173    15.2    2.0
FRB 1713   362.0  35    277.0  0.274     9.6    3.0
FRB 1714   512.2  35    427.2  0.559    11.8    3.0
FRB 1715   369.4  35    284.4  0.400     9.3    1.0
FRB 1716   138.1  35     53.1  0.034   317.2    3.0
FRB 1717   492.9  35    407.9  0.072     9.4    2.0
FRB 1718   685.3  35    600.3  0.393    13.6    4.0
FRB 1719   296.8  35    211.8  0.188    18.7    3.0
FRB 1720   883.5  35    798.5  0.537    17.4    2.0
FRB 1721   746.5  35    661.5  0.618     9.8    1.0
FRB 1722   660.2  35    575.2  0.180    15.4    4.0
FRB 1723   539.1  35    454.1  0.272    15.3    3.0
FRB 1724   945.4  35    860.4  0.533    13.0    3.0
FRB 1725   280.8  35    195.8  0.004    35.9    2.0
FRB 1726   169.6  35     84.6  0.089    10.6    4.0
FRB 1727   360.8  35    275.8  0.278    19.1    2.0
FRB 1728   414.3  35    329.3  0.468    14.2    3.0
FRB 1729   454.8  35    369.8  0.502    54.8    2.0
FRB 1730   638.1  35    553.1  0.269    17.5    2.0
FRB 1731   209.7  35    124.7  0.023     9.8    3.0
FRB 1732   380.0  35    295.0  0.264    13.3    3.0
FRB 1733   480.7  35    395.7  0.377    10.8    2.0
FRB 1734   630.5  35    545.5  0.202    11.5    3.0
FRB 1735   464.3  35    379.3  0.196    23.5    2.0
FRB 1736   993.9  35    908.9  0.447    12.9    2.0
FRB 1737   150.2  35     65.2  0.056    12.1    3.0
FRB 1738   243.7  35    158.7  0.228    15.7    2.0
FRB 1739   285.1  35    200.1  0.113     9.8    2.0
FRB 1740   524.2  35    439.2  0.161    12.7    1.0
FRB 1741   669.5  35    584.5  0.359    10.8    4.0
FRB 1742   344.0  35    259.0  0.012   123.3    3.0
FRB 1743   455.9  35    370.9  0.276     9.9    3.0
FRB 1744   644.4  35    559.4  0.630    24.0    2.0
FRB 1745   344.2  35    259.2  0.085   110.9    3.0
FRB 1746   644.6  35    559.6  0.640    19.6    2.0
FRB 1747   219.4  35    134.4  0.058    22.6    3.0
FRB 1748   176.1  35     91.1  0.190    55.9    1.0
FRB 1749   523.6  35    438.6  0.462    16.8    1.0
FRB 1750   574.0  35    489.0  0.396    24.2    4.0
FRB 1751   132.0  35     47.0  0.013    27.9    1.0
FRB 1752   301.6  35    216.6  0.263    55.0    1.0
FRB 1753   563.7  35    478.7  0.308    12.0    1.0
FRB 1754   465.9  35    380.9  0.362    68.9    2.0
FRB 1755   459.6  35    374.6  0.336    21.0    1.0
FRB 1756   271.9  35    186.9  0.086   126.7    2.0
FRB 1757   354.3  35    269.3  0.222    15.0    4.0
FRB 1758   204.9  35    119.9  0.155    24.7    1.0
FRB 1759   597.1  35    512.1  0.679    13.8    3.0
FRB 1760   516.5  35    431.5  0.414    16.9    1.0
FRB 1761   417.5  35    332.5  0.357    14.5    3.0
FRB 1762   362.0  35    277.0  0.117    11.3    2.0
FRB 1763   500.8  35    415.8  0.316    13.7    4.0
FRB 1764   602.1  35    517.1  0.372     9.9    3.0
FRB 1765   266.2  35    181.2  0.116    11.2    6.0
FRB 1766   444.1  35    359.1  0.212    10.0    2.0
FRB 1767   726.7  35    641.7  0.601     9.5    2.0
FRB 1768   488.9  35    403.9  0.032     9.5    4.0
FRB 1769   312.6  35    227.6  0.145     9.5    1.0
FRB 1770   323.5  35    238.5  0.257    10.4    2.0
FRB 1771   336.3  35    251.3  0.206    16.7    1.0
FRB 1772   534.0  35    449.0  0.006    19.0    4.0
FRB 1773   178.3  35     93.3  0.120    20.3    3.0
FRB 1774   913.1  35    828.1  0.504    11.1    2.0
FRB 1775   492.1  35    407.1  0.134    12.3    3.0
FRB 1776   156.1  35     71.1  0.003    29.6    2.0
FRB 1777   496.9  35    411.9  0.231     9.3    3.0
FRB 1778   534.7  35    449.7  0.410    11.9    2.0
FRB 1779   308.0  35    223.0  0.059   101.0    3.0
FRB 1780   613.0  35    528.0  0.265    30.7    2.0
FRB 1781   340.7  35    255.7  0.241    14.8    1.0
FRB 1782   346.6  35    261.6  0.191    20.9    3.0
FRB 1783   204.1  35    119.1  0.164    11.5    2.0
FRB 1784   302.2  35    217.2  0.185     9.5    2.0
FRB 1785   400.5  35    315.5  0.225    10.0    4.0
FRB 1786  1349.6  35   1264.6  0.238    18.4    1.0
FRB 1787   559.7  35    474.7  0.161    11.5    3.0
FRB 1788   200.0  35    115.0  0.113    25.5    4.0
FRB 1789   180.4  35     95.4  0.032    16.4    0.0
FRB 1790   390.4  35    305.4  0.141    26.7    1.0
FRB 1791   382.5  35    297.5  0.242    33.0    3.0
FRB 1792   554.8  35    469.8  0.349    10.8    2.0
FRB 1793   172.3  35     87.3  0.031    18.0    3.0
FRB 1794   602.7  35    517.7  0.708    14.4    2.0
FRB 1795   747.6  35    662.6  0.287    18.7    3.0
FRB 1796   223.9  35    138.9  0.063    11.2    2.0
FRB 1797   365.4  35    280.4  0.367    16.9    3.0
FRB 1798   474.2  35    389.2  0.238    22.3    4.0
FRB 1799   261.6  35    176.6  0.110     9.2    3.0
FRB 1800   276.0  35    191.0  0.042    10.3    3.0
FRB 1801   443.7  35    358.7  0.368     9.8    4.0
FRB 1802   191.4  35    106.4  0.044    26.7    1.0
FRB 1803   694.7  35    609.7  0.303    14.8    1.0
FRB 1804   643.7  35    558.7  0.685    17.2    2.0
FRB 1805   549.8  35    464.8  0.037    10.3    2.0
FRB 1806   191.4  35    106.4  0.058    14.3    3.0
FRB 1807   377.3  35    292.3  0.111    27.6    2.0
FRB 1808   306.3  35    221.3  0.197     9.2    2.0
FRB 1809   383.6  35    298.6  0.332    15.6    2.0
FRB 1810   455.8  35    370.8  0.395    22.7    2.0
FRB 1811   628.3  35    543.3  0.801    23.5    1.0
FRB 1812   657.6  35    572.6  0.386    15.2    2.0
FRB 1813   452.2  35    367.2  0.427     9.2    1.0
FRB 1814   960.0  35    875.0  0.233    13.4    2.0
FRB 1815   377.7  35    292.7  0.335    94.3    2.0
FRB 1816   465.6  35    380.6  0.005    17.1    4.0
FRB 1817   982.9  35    897.9  0.217    16.2    3.0
FRB 1818   579.2  35    494.2  0.417    14.8    2.0
FRB 1819   314.3  35    229.3  0.266    20.6    2.0
FRB 1820   194.5  35    109.5  0.103    10.4    2.0
FRB 1821   150.3  35     65.3  0.062    62.5    2.0
FRB 1822   759.6  35    674.6  0.589    10.3    3.0
FRB 1823  2168.0  35   2083.0  0.025    37.1    2.0
FRB 1824   410.6  35    325.6  0.412    11.8    2.0
FRB 1825   559.6  35    474.6  0.543     9.2    1.0
FRB 1826   418.0  35    333.0  0.223     9.1    2.0
FRB 1827   379.5  35    294.5  0.360    11.5    1.0
FRB 1828   759.3  35    674.3  0.118     9.9    3.0
FRB 1829   351.0  35    266.0  0.164    18.4    3.0
FRB 1830   835.2  35    750.2  0.514    11.3    1.0
FRB 1831   363.5  35    278.5  0.182    53.3    3.0
FRB 1832   691.9  35    606.9  0.428    26.4    2.0
FRB 1833   204.4  35    119.4  0.139    45.5    3.0
FRB 1834   235.1  35    150.1  0.042   121.3    2.0
FRB 1835   525.2  35    440.2  0.387    11.7    4.0
FRB 1836   661.3  35    576.3  0.274    21.9    2.0
FRB 1837   423.8  35    338.8  0.063    16.9    3.0
FRB 1838   283.9  35    198.9  0.157    49.0    2.0
FRB 1839   661.8  35    576.8  0.728    10.9    0.0
FRB 1840   345.7  35    260.7  0.246    15.7    1.0
FRB 1841   316.1  35    231.1  0.084     9.0    4.0
FRB 1842   905.6  35    820.6  0.492    14.5    3.0
FRB 1843   369.1  35    284.1  0.270    15.9    3.0
FRB 1844  1135.8  35   1050.8  0.067    32.1    3.0
FRB 1845   173.4  35     88.4  0.058    22.6    2.0
FRB 1846   628.5  35    543.5  0.148    12.0    2.0
FRB 1847   543.0  35    458.0  0.285    23.0    3.0
FRB 1848   287.7  35    202.7  0.011    16.4    2.0
FRB 1849   243.0  35    158.0  0.236    13.8    2.0
FRB 1850   135.9  35     50.9  0.007    57.7    3.0
FRB 1851   274.6  35    189.6  0.263     9.8    1.0
FRB 1852   188.9  35    103.9  0.091    24.7    1.0
FRB 1853   247.2  35    162.2  0.210    12.3    2.0
FRB 1854   396.8  35    311.8  0.386    15.9    1.0
FRB 1855   971.4  35    886.4  0.015    16.5    4.0
FRB 1856   242.2  35    157.2  0.038     9.8    5.0
FRB 1857   498.3  35    413.3  0.420    11.9    0.0
FRB 1858   365.8  35    280.8  0.201    18.9    2.0
FRB 1859   574.3  35    489.3  0.350    55.2    2.0
FRB 1860   257.1  35    172.1  0.063    11.8    3.0
FRB 1861   339.2  35    254.2  0.131    23.8    3.0
FRB 1862   557.5  35    472.5  0.424    39.8    3.0
FRB 1863   220.9  35    135.9  0.174    14.4    4.0
FRB 1864   519.0  35    434.0  0.310    16.6    3.0
FRB 1865   160.0  35     75.0  0.057    25.5    1.0
FRB 1866  1417.5  35   1332.5  0.086    24.0    4.0
FRB 1867   524.9  35    439.9  0.095     9.7    1.0
FRB 1868   369.8  35    284.8  0.360    27.4    4.0
FRB 1869   178.0  35     93.0  0.058    10.6    3.0
FRB 1870   527.9  35    442.9  0.054    12.1    2.0
FRB 1871   432.1  35    347.1  0.509    11.4    1.0
FRB 1872   161.8  35     76.8  0.007    19.8    3.0
FRB 1873   461.9  35    376.9  0.268    22.0    2.0
FRB 1874   177.7  35     92.7  0.118    23.7    2.0
FRB 1875   161.1  35     76.1  0.067    12.6    3.0
FRB 1876   238.8  35    153.8  0.043    15.1    3.0
FRB 1877   243.1  35    158.1  0.021     9.4    3.0
FRB 1878   493.0  35    408.0  0.186     9.3    0.0
FRB 1879   503.1  35    418.1  0.577    11.2    2.0
FRB 1880   676.9  35    591.9  0.119    60.7    2.0
FRB 1881   527.3  35    442.3  0.116    11.4    4.0
FRB 1882   500.4  35    415.4  0.029     9.3    4.0
FRB 1883   116.1  35     31.1  0.015    18.1    4.0
FRB 1884   472.7  35    387.7  0.383    11.5    2.0
FRB 1885   553.5  35    468.5  0.481    11.8    3.0
FRB 1886   780.3  35    695.3  0.396    10.8    3.0
FRB 1887   445.5  35    360.5  0.230    13.9    4.0
FRB 1888   107.6  35     22.6  0.017    10.6    4.0
FRB 1889   224.3  35    139.3  0.028   239.0    2.0
FRB 1890   207.3  35    122.3  0.101    25.3    2.0
FRB 1891   324.4  35    239.4  0.006    13.3    1.0
FRB 1892   512.9  35    427.9  0.111    74.1    1.0
FRB 1893   593.9  35    508.9  0.513    14.9    1.0
FRB 1894   647.9  35    562.9  0.709     9.6    2.0
FRB 1895   353.2  35    268.2  0.272    11.0    1.0
FRB 1896   929.6  35    844.6  0.347    74.8    2.0
FRB 1897   581.4  35    496.4  0.409    19.5    3.0
FRB 1898  1095.3  35   1010.3  0.655     9.8    2.0
FRB 1899   642.1  35    557.1  0.179    53.2    2.0
FRB 1900   570.1  35    485.1  0.082    20.5    3.0
FRB 1901   257.6  35    172.6  0.236     9.2    0.0
FRB 1902  1052.0  35    967.0  0.626     9.6    1.0
FRB 1903   209.7  35    124.7  0.100    11.2    4.0
FRB 1904   825.3  35    740.3  0.823     9.4    0.0
FRB 1905   533.5  35    448.5  0.214    10.4    2.0
FRB 1906   464.6  35    379.6  0.521    16.8    1.0
FRB 1907   360.3  35    275.3  0.371    49.8    2.0
FRB 1908   506.3  35    421.3  0.549    12.3    2.0
FRB 1909   287.8  35    202.8  0.225    23.9    2.0
FRB 1910   435.2  35    350.2  0.023    10.6    2.0
FRB 1911   778.1  35    693.1  0.069    23.1    3.0
FRB 1912   255.3  35    170.3  0.002    14.0    0.0
FRB 1913   530.8  35    445.8  0.267    15.6    2.0
FRB 1914   239.9  35    154.9  0.077    21.8    3.0
FRB 1915   274.5  35    189.5  0.286    27.3    2.0
FRB 1916  1027.5  35    942.5  0.034    25.5    3.0
FRB 1917   542.9  35    457.9  0.157     9.4    2.0
FRB 1918   257.8  35    172.8  0.209    19.1    2.0
FRB 1919   460.8  35    375.8  0.377    12.8    2.0
FRB 1920   233.9  35    148.9  0.059    25.9    3.0
FRB 1921   298.3  35    213.3  0.047   189.7    1.0
FRB 1922   224.6  35    139.6  0.191    13.7    4.0
FRB 1923   806.8  35    721.8  0.582     9.3    2.0
FRB 1924   212.4  35    127.4  0.038     9.3    2.0
FRB 1925   387.1  35    302.1  0.214    16.1    3.0
FRB 1926   434.0  35    349.0  0.322    14.4    1.0
FRB 1927   521.4  35    436.4  0.383    87.7    2.0
FRB 1928   257.8  35    172.8  0.220    27.7    2.0
FRB 1929   372.6  35    287.6  0.114    58.9    3.0
FRB 1930   354.0  35    269.0  0.137    16.3    3.0
FRB 1931   312.3  35    227.3  0.277    10.7    2.0
FRB 1932   375.5  35    290.5  0.369    21.2    3.0
FRB 1933   386.2  35    301.2  0.503    14.4    3.0
FRB 1934   650.9  35    565.9  0.378     9.5    2.0
FRB 1935   211.3  35    126.3  0.025    19.1    2.0
FRB 1936   152.6  35     67.6  0.048    19.0    2.0
FRB 1937   621.1  35    536.1  0.197    20.5    4.0
FRB 1938   587.4  35    502.4  0.717     9.9    2.0
FRB 1939   728.6  35    643.6  0.265    25.7    4.0
FRB 1940   368.0  35    283.0  0.205    30.9    6.0
FRB 1941   307.5  35    222.5  0.175    14.6    0.0
FRB 1942   267.4  35    182.4  0.156    11.9    1.0
FRB 1943   368.5  35    283.5  0.200    11.6    1.0
FRB 1944  1778.9  35   1693.9  0.055    20.9    3.0
FRB 1945   243.6  35    158.6  0.057    40.5    3.0
FRB 1946   442.1  35    357.1  0.248    11.2    2.0
FRB 1947   471.0  35    386.0  0.443    10.1    0.0
FRB 1948   481.2  35    396.2  0.477    14.3    2.0
FRB 1949   439.1  35    354.1  0.271    10.7    1.0
FRB 1950   363.9  35    278.9  0.222    20.3    3.0
FRB 1951   695.8  35    610.8  0.146    20.2    2.0
FRB 1952   497.2  35    412.2  0.157    23.8    0.0
FRB 1953   619.8  35    534.8  0.486    27.6    3.0
FRB 1954   531.1  35    446.1  0.044    64.0    4.0
FRB 1955   144.2  35     59.2  0.035    37.6    1.0
FRB 1956   380.6  35    295.6  0.352    13.6    2.0
FRB 1957   378.1  35    293.1  0.251     9.1    2.0
FRB 1958   349.7  35    264.7  0.169    51.2    1.0
FRB 1959   720.6  35    635.6  0.208    19.0    1.0
FRB 1960   219.6  35    134.6  0.171    17.3    4.0
FRB 1961   513.8  35    428.8  0.613    14.1    1.0
FRB 1962   418.4  35    333.4  0.217     9.8    3.0
