BW    336 #MHz
FRES  1 #MHz
NFRB 5388 #Number of FRBs
DIAM 12
NBEAMS 36
BEAM lat50_log #prefix of beam file
THRESH 6.844 #Jy ms to a 1 ms burst, very basic. Likely higher
SNRTHRESH 14 # signal-to-noise threshold: scales jy ms to snr
KEY ID 		DM   DMG DMEG	Z       SNR     w
FRB 2461   487.6  35    402.6  0.319    17.1    2.0
FRB 2462   384.8  35    299.8  0.348    68.8    3.0
FRB 2465   324.0  35    239.0  0.063    24.2    2.0
FRB 2467   901.8  35    816.8  0.502    21.9    1.0
FRB 2468   761.0  35    676.0  0.115    14.0    1.0
FRB 2470   327.3  35    242.3  0.176    74.7    3.0
FRB 2472   373.9  35    288.9  0.277    15.0    3.0
FRB 2479   790.9  35    705.9  0.259    16.1    2.0
FRB 2480   251.5  35    166.5  0.000    19.4    3.0
FRB 2481   940.5  35    855.5  0.300    45.1    2.0
FRB 2482   709.9  35    624.9  0.026    64.2    3.0
FRB 2483   479.8  35    394.8  0.220    26.4    1.0
FRB 2484   541.6  35    456.6  0.451    14.3    1.0
FRB 2485   733.7  35    648.7  0.028    28.6    3.0
FRB 2486   209.8  35    124.8  0.114    14.6    4.0
FRB 2487   251.0  35    166.0  0.200    18.6    5.0
FRB 2491   493.5  35    408.5  0.549    30.8    3.0
FRB 2493   346.2  35    261.2  0.087    14.2    1.0
FRB 2495   260.7  35    175.7  0.125    14.4    1.0
FRB 2498   137.9  35     52.9  0.042    21.4    2.0
FRB 2499   452.2  35    367.2  0.469    36.5    3.0
FRB 2502   521.6  35    436.6  0.439    33.9    1.0
FRB 2503   350.9  35    265.9  0.199    18.8    2.0
FRB 2504   308.5  35    223.5  0.196    18.7    5.0
FRB 2505   307.6  35    222.6  0.146    27.2    3.0
FRB 2506   305.9  35    220.9  0.163    16.0    4.0
FRB 2508  1774.0  35   1689.0  0.023    72.3    6.0
FRB 2509   316.2  35    231.2  0.302    26.5    3.0
FRB 2513   465.1  35    380.1  0.218    15.6    3.0
FRB 2514   322.0  35    237.0  0.074    31.2    3.0
FRB 2516   203.1  35    118.1  0.139    18.5    0.0
FRB 2517   444.4  35    359.4  0.365    23.4    3.0
FRB 2520   496.7  35    411.7  0.271    28.1    3.0
FRB 2521   345.3  35    260.3  0.055    14.8    2.0
FRB 2522   445.8  35    360.8  0.385    29.0    1.0
FRB 2523   197.6  35    112.6  0.043   205.5    3.0
FRB 2524   181.1  35     96.1  0.125    27.9    5.0
FRB 2525   320.9  35    235.9  0.072    31.9    3.0
FRB 2526   505.2  35    420.2  0.280    29.5    4.0
FRB 2528   632.4  35    547.4  0.301    22.1    2.0
FRB 2529   306.2  35    221.2  0.110    18.5    1.0
FRB 2530   227.0  35    142.0  0.104    16.4    2.0
FRB 2531   374.7  35    289.7  0.191    15.0    4.0
FRB 2532   565.8  35    480.8  0.310    24.2    2.0
FRB 2533   259.6  35    174.6  0.132    18.5    4.0
FRB 2534   172.4  35     87.4  0.063    17.6    2.0
FRB 2535   418.7  35    333.7  0.344    44.0    0.0
FRB 2536   674.4  35    589.4  0.607    15.7    2.0
FRB 2538   269.5  35    184.5  0.152    52.1    3.0
FRB 2541   400.8  35    315.8  0.121    28.6    1.0
FRB 2542   452.8  35    367.8  0.160   106.8    3.0
FRB 2543   461.0  35    376.0  0.077    14.5    3.0
FRB 2544   208.4  35    123.4  0.172    16.3    5.0
FRB 2546   152.1  35     67.1  0.026    79.2    2.0
FRB 2547   225.8  35    140.8  0.016    22.6    2.0
FRB 2548   183.3  35     98.3  0.056    45.2    2.0
FRB 2550   236.9  35    151.9  0.016    28.3    4.0
FRB 2552   182.6  35     97.6  0.011    19.3    1.0
FRB 2553   329.1  35    244.1  0.240    28.5    2.0
FRB 2558   144.6  35     59.6  0.093    21.2    3.0
FRB 2559   651.7  35    566.7  0.089   436.6    4.0
FRB 2561  1201.7  35   1116.7  0.226    17.0    3.0
FRB 2562   423.4  35    338.4  0.372    61.6    2.0
FRB 2564   428.7  35    343.7  0.282    41.8    2.0
FRB 2565   454.6  35    369.6  0.028    26.0    3.0
FRB 2566   466.0  35    381.0  0.377    19.9    3.0
FRB 2570   434.2  35    349.2  0.345    42.2    3.0
FRB 2572   408.8  35    323.8  0.361    14.1    3.0
FRB 2574   360.7  35    275.7  0.215    14.1    1.0
FRB 2575   151.9  35     66.9  0.029    26.4    2.0
FRB 2577   191.9  35    106.9  0.056    56.6    3.0
FRB 2578   698.7  35    613.7  0.344    17.3    2.0
FRB 2579   399.3  35    314.3  0.372    33.6    3.0
FRB 2580   316.5  35    231.5  0.181    22.2    2.0
FRB 2582   374.4  35    289.4  0.071   161.4    3.0
FRB 2583   572.3  35    487.3  0.213    14.7    3.0
FRB 2585   240.9  35    155.9  0.110    14.5    4.0
FRB 2587   328.1  35    243.1  0.213    24.6    4.0
FRB 2588   436.7  35    351.7  0.322    42.8    2.0
FRB 2589   589.6  35    504.6  0.518    16.8    3.0
FRB 2590   541.4  35    456.4  0.524    59.1    1.0
FRB 2593   189.8  35    104.8  0.061    45.2    4.0
FRB 2594   473.7  35    388.7  0.430    18.5    3.0
FRB 2596   560.8  35    475.8  0.268    15.3    4.0
FRB 2598   922.9  35    837.9  0.440    15.2    2.0
FRB 2601   162.1  35     77.1  0.023   369.7    3.0
FRB 2603   358.3  35    273.3  0.130    66.5    2.0
FRB 2605   612.5  35    527.5  0.453    22.9    1.0
FRB 2606   520.2  35    435.2  0.348    27.5    3.0
FRB 2609   471.4  35    386.4  0.315    27.3    3.0
FRB 2610   650.2  35    565.2  0.439    17.6    2.0
FRB 2614   342.6  35    257.6  0.055    29.9    3.0
FRB 2615   290.5  35    205.5  0.254    14.0    4.0
FRB 2616   693.3  35    608.3  0.042   109.5    4.0
FRB 2617   262.5  35    177.5  0.061    15.9    4.0
FRB 2618   267.8  35    182.8  0.235    50.5    3.0
FRB 2619  1142.7  35   1057.7  0.199    15.6    3.0
FRB 2620   189.9  35    104.9  0.052   429.1    2.0
FRB 2623   505.3  35    420.3  0.346    70.8    3.0
FRB 2627   561.4  35    476.4  0.348    17.7    2.0
FRB 2631   448.1  35    363.1  0.373    16.0    3.0
FRB 2632   308.2  35    223.2  0.181    20.8    2.0
FRB 2636   456.2  35    371.2  0.243    50.4    2.0
FRB 2637   165.6  35     80.6  0.048   400.1    2.0
FRB 2638   372.9  35    287.9  0.031    51.0    3.0
FRB 2640   527.2  35    442.2  0.005    15.4    3.0
FRB 2642   510.4  35    425.4  0.324   104.2    2.0
FRB 2643   536.8  35    451.8  0.049    20.5    3.0
FRB 2644   281.4  35    196.4  0.159    20.4    4.0
FRB 2646   362.8  35    277.8  0.263    14.2    3.0
FRB 2649   233.3  35    148.3  0.267    18.6    4.0
FRB 2650   663.3  35    578.3  0.427    20.7    2.0
FRB 2653   375.2  35    290.2  0.242    25.2    3.0
FRB 2656   341.6  35    256.6  0.125    28.0    2.0
FRB 2657   583.8  35    498.8  0.373    25.4    3.0
FRB 2658   208.5  35    123.5  0.067    67.5    2.0
FRB 2663   480.0  35    395.0  0.366    27.7    4.0
FRB 2664   466.2  35    381.2  0.445    21.7    3.0
FRB 2665   404.9  35    319.9  0.447    20.6    2.0
FRB 2667   176.6  35     91.6  0.009    17.6    4.0
FRB 2671   398.4  35    313.4  0.269    34.6    3.0
FRB 2672   519.4  35    434.4  0.346    17.6    2.0
FRB 2673   303.6  35    218.6  0.149    27.5    3.0
FRB 2674   338.6  35    253.6  0.374    17.2    2.0
FRB 2675   125.9  35     40.9  0.015    30.6    4.0
FRB 2676   497.1  35    412.1  0.436    40.0    3.0
FRB 2678   587.1  35    502.1  0.193    22.3    1.0
FRB 2680   633.0  35    548.0  0.715    21.6    2.0
FRB 2681  1046.3  35    961.3  0.510    15.4    3.0
FRB 2684   556.3  35    471.3  0.100    76.1    3.0
FRB 2691   497.4  35    412.4  0.354    38.5    4.0
FRB 2693   350.4  35    265.4  0.229    58.5    4.0
FRB 2694   307.4  35    222.4  0.304    14.6    3.0
FRB 2698   642.1  35    557.1  0.085    16.8    1.0
FRB 2700   323.9  35    238.9  0.034    25.5    2.0
FRB 2701   397.7  35    312.7  0.032    33.2    4.0
FRB 2702   909.2  35    824.2  0.396    49.1    3.0
FRB 2703   563.1  35    478.1  0.290    28.7    2.0
FRB 2704   183.5  35     98.5  0.037    17.7    2.0
FRB 2706   371.8  35    286.8  0.063    16.7    3.0
FRB 2708   336.0  35    251.0  0.126    31.7    1.0
FRB 2709   304.1  35    219.1  0.211    19.0    4.0
FRB 2711   165.8  35     80.8  0.045    19.4    2.0
FRB 2713   458.3  35    373.3  0.342    16.8    3.0
FRB 2718   182.7  35     97.7  0.047    21.8    3.0
FRB 2719   389.5  35    304.5  0.411    16.9    2.0
FRB 2720   362.6  35    277.6  0.229    18.3    3.0
FRB 2724   271.5  35    186.5  0.116    20.0    2.0
FRB 2725   539.5  35    454.5  0.214    26.7    3.0
FRB 2727   244.7  35    159.7  0.031   116.5    4.0
FRB 2728   510.5  35    425.5  0.284    30.1    3.0
FRB 2733   241.9  35    156.9  0.087    47.0    4.0
FRB 2736   354.4  35    269.4  0.186    15.6    4.0
FRB 2737  1070.7  35    985.7  0.375    23.1    2.0
FRB 2741   205.1  35    120.1  0.110    33.7    4.0
FRB 2743   560.7  35    475.7  0.063    36.4    1.0
FRB 2744   366.7  35    281.7  0.106    17.8    4.0
FRB 2746   135.2  35     50.2  0.019    15.9    3.0
FRB 2747   224.6  35    139.6  0.143    20.5    3.0
FRB 2750   450.9  35    365.9  0.349    25.3    0.0
FRB 2753   577.2  35    492.2  0.545    26.0    1.0
FRB 2758   618.4  35    533.4  0.237    22.7    4.0
FRB 2760  1013.8  35    928.8  0.016    81.2    3.0
FRB 2764   798.3  35    713.3  0.151    27.9    4.0
FRB 2767   304.6  35    219.6  0.126    16.6    6.0
FRB 2769   407.6  35    322.6  0.179    19.5    3.0
FRB 2770   386.8  35    301.8  0.409    48.4    1.0
FRB 2771   611.6  35    526.6  0.100    87.3    2.0
FRB 2772   165.7  35     80.7  0.020    51.9    3.0
FRB 2774   203.2  35    118.2  0.124    37.2    4.0
FRB 2775   298.0  35    213.0  0.199    14.4    3.0
FRB 2776   976.0  35    891.0  0.365    21.5    4.0
FRB 2777   205.6  35    120.6  0.043    54.5    3.0
FRB 2778   377.0  35    292.0  0.114   107.1    3.0
FRB 2779   253.5  35    168.5  0.123    18.6    3.0
FRB 2782   156.9  35     71.9  0.026    21.0    4.0
FRB 2783   208.3  35    123.3  0.144   145.1    3.0
FRB 2785   428.8  35    343.8  0.242    24.2    4.0
FRB 2786   345.1  35    260.1  0.367    32.9    3.0
FRB 2789   762.6  35    677.6  0.507    21.3    3.0
FRB 2791   255.0  35    170.0  0.220    15.3    4.0
FRB 2792   527.4  35    442.4  0.127    23.7    2.0
FRB 2795   606.8  35    521.8  0.688    33.3    2.0
FRB 2797   281.4  35    196.4  0.049    21.9    2.0
FRB 2798   157.0  35     72.0  0.017   162.0    3.0
FRB 2800   289.1  35    204.1  0.250    14.3    2.0
FRB 2801   669.6  35    584.6  0.374    28.5    2.0
FRB 2805   476.2  35    391.2  0.118    17.1    2.0
FRB 2806   312.1  35    227.1  0.074    20.3    4.0
FRB 2808   405.5  35    320.5  0.433    15.2    1.0
FRB 2810   365.7  35    280.7  0.006    14.6    2.0
FRB 2812   275.3  35    190.3  0.250    85.7    2.0
FRB 2813   197.6  35    112.6  0.027    35.2    3.0
FRB 2814   479.4  35    394.4  0.099    18.3    4.0
FRB 2815   300.1  35    215.1  0.211    26.9    3.0
FRB 2816   375.4  35    290.4  0.328    17.0    3.0
FRB 2817   660.2  35    575.2  0.203    57.6    1.0
FRB 2819   317.6  35    232.6  0.068    61.9    3.0
FRB 2822   398.9  35    313.9  0.106    15.5    3.0
FRB 2823   451.9  35    366.9  0.522    14.5    3.0
FRB 2825   239.1  35    154.1  0.150    18.5    2.0
FRB 2826   530.1  35    445.1  0.202    49.9    1.0
FRB 2827   838.4  35    753.4  0.114    72.2    3.0
FRB 2830   240.5  35    155.5  0.082    25.4    2.0
FRB 2831   379.4  35    294.4  0.333    20.4    3.0
FRB 2832   172.8  35     87.8  0.072    14.8    2.0
FRB 2834   168.6  35     83.6  0.010    28.7    1.0
FRB 2837   296.0  35    211.0  0.163    17.6    2.0
FRB 2839   355.7  35    270.7  0.076    21.0    4.0
FRB 2845   387.1  35    302.1  0.437    34.3    1.0
FRB 2847   423.5  35    338.5  0.087    16.3    0.0
FRB 2849   188.8  35    103.8  0.071    21.3    3.0
FRB 2852   299.7  35    214.7  0.157    26.5    2.0
FRB 2853   602.5  35    517.5  0.306    19.1    2.0
FRB 2855   377.6  35    292.6  0.359    34.9    1.0
FRB 2858   227.7  35    142.7  0.019    40.5    3.0
FRB 2860  1565.3  35   1480.3  0.017   140.6    4.0
FRB 2861   301.4  35    216.4  0.237    29.0    4.0
FRB 2865   238.9  35    153.9  0.242    52.8    3.0
FRB 2867   352.0  35    267.0  0.262    16.4    4.0
FRB 2868   131.9  35     46.9  0.029    37.4    2.0
FRB 2871   319.8  35    234.8  0.210    63.6    3.0
FRB 2876   569.8  35    484.8  0.315    14.1    3.0
FRB 2877   498.1  35    413.1  0.233    14.2    1.0
FRB 2879   483.8  35    398.8  0.155    18.1    1.0
FRB 2881   844.5  35    759.5  0.266    18.7    2.0
FRB 2882   238.4  35    153.4  0.141    16.9    1.0
FRB 2883   749.1  35    664.1  0.023    36.7    3.0
FRB 2886   498.7  35    413.7  0.242    49.8    3.0
FRB 2887   377.9  35    292.9  0.189    14.3    2.0
FRB 2889   580.2  35    495.2  0.176    24.9    4.0
FRB 2892   317.8  35    232.8  0.230    20.1    3.0
FRB 2893   548.9  35    463.9  0.381    22.7    2.0
FRB 2895   464.4  35    379.4  0.505    35.4    2.0
FRB 2896   677.7  35    592.7  0.159    82.3    3.0
FRB 2897   393.5  35    308.5  0.124    14.1    4.0
FRB 2900   214.3  35    129.3  0.020    86.9    3.0
FRB 2901   277.4  35    192.4  0.033    17.2    4.0
FRB 2902   510.6  35    425.6  0.431    17.8    2.0
FRB 2903   245.7  35    160.7  0.203    18.1    3.0
FRB 2904   146.1  35     61.1  0.010    29.2    2.0
FRB 2906   482.3  35    397.3  0.409    60.5    1.0
FRB 2907   568.3  35    483.3  0.220    24.3    4.0
FRB 2910   669.1  35    584.1  0.175    23.9    2.0
FRB 2911   236.2  35    151.2  0.016    16.2    4.0
FRB 2913   562.9  35    477.9  0.710    33.6    2.0
FRB 2914   258.9  35    173.9  0.127    46.7    2.0
FRB 2917   581.4  35    496.4  0.035    32.4    2.0
FRB 2920   310.2  35    225.2  0.279    25.0    3.0
FRB 2922   333.6  35    248.6  0.129    63.7    3.0
FRB 2924   241.2  35    156.2  0.054    81.7    2.0
FRB 2926   243.1  35    158.1  0.101    17.4    4.0
FRB 2928   384.6  35    299.6  0.256    17.4    2.0
FRB 2931   472.2  35    387.2  0.595    33.3    3.0
FRB 2935   875.4  35    790.4  0.100    21.8    4.0
FRB 2939   549.2  35    464.2  0.505    25.2    2.0
FRB 2940   467.8  35    382.8  0.013    99.1    1.0
FRB 2943   649.7  35    564.7  0.182    17.6    3.0
FRB 2944   494.5  35    409.5  0.247    22.0    0.0
FRB 2948   687.0  35    602.0  0.498    16.3    1.0
FRB 2949   412.6  35    327.6  0.365    39.4    3.0
FRB 2950   412.6  35    327.6  0.422    16.8    3.0
FRB 2952   558.5  35    473.5  0.379    58.7    1.0
FRB 2953   445.8  35    360.8  0.494    21.7    2.0
FRB 2956   298.1  35    213.1  0.223    14.7    3.0
FRB 2957   229.2  35    144.2  0.040    14.0    4.0
FRB 2958   335.3  35    250.3  0.204    17.4    3.0
FRB 2960   428.4  35    343.4  0.051    64.7    1.0
FRB 2962   295.1  35    210.1  0.216    58.3    3.0
FRB 2963   153.7  35     68.7  0.001    23.3    2.0
FRB 2964   223.8  35    138.8  0.127    16.7    3.0
FRB 2965   574.8  35    489.8  0.073    34.6    2.0
FRB 2970   418.3  35    333.3  0.114    24.0    5.0
FRB 2971   451.7  35    366.7  0.257    33.9    3.0
FRB 2972   164.8  35     79.8  0.016    15.2    0.0
FRB 2973   419.5  35    334.5  0.038    21.9    2.0
FRB 2975  1402.1  35   1317.1  0.187    15.4    1.0
FRB 2976   234.4  35    149.4  0.159    41.5    2.0
FRB 2977   280.5  35    195.5  0.266    39.2    3.0
FRB 2979   837.7  35    752.7  0.425    30.7    2.0
FRB 2983   234.4  35    149.4  0.212    23.2    4.0
FRB 2984   636.3  35    551.3  0.377    16.8    1.0
FRB 2990   251.9  35    166.9  0.162    36.8    5.0
FRB 2992   359.5  35    274.5  0.175    38.9    3.0
FRB 2993   299.7  35    214.7  0.210    40.8    1.0
FRB 2994   488.2  35    403.2  0.160    16.1    3.0
FRB 3000   565.3  35    480.3  0.450    43.7    2.0
FRB 3001   207.4  35    122.4  0.048    18.9    1.0
FRB 3002  1397.4  35   1312.4  0.291    25.3    4.0
FRB 3003   689.6  35    604.6  0.295    16.6    0.0
FRB 3007   327.6  35    242.6  0.231    55.2    3.0
FRB 3008   382.6  35    297.6  0.382    17.2    3.0
FRB 3010   295.6  35    210.6  0.065   254.7    0.0
FRB 3012   467.5  35    382.5  0.259    60.2    3.0
FRB 3014  1659.9  35   1574.9  0.072    26.5    3.0
FRB 3016   589.6  35    504.6  0.081    21.5    3.0
FRB 3019   260.8  35    175.8  0.206    15.2    2.0
FRB 3021   564.4  35    479.4  0.110    53.3    2.0
FRB 3025   329.7  35    244.7  0.104   125.9    0.0
FRB 3029   204.1  35    119.1  0.078    21.7    1.0
FRB 3031   321.2  35    236.2  0.202    21.3    3.0
FRB 3033   147.8  35     62.8  0.041    26.4    4.0
FRB 3034   154.5  35     69.5  0.042    23.4    2.0
FRB 3035   233.5  35    148.5  0.013    55.1    6.0
FRB 3036   280.4  35    195.4  0.328    74.2    3.0
FRB 3037   550.6  35    465.6  0.427    14.2    1.0
FRB 3040   401.3  35    316.3  0.381    40.8    3.0
FRB 3045   607.3  35    522.3  0.551    27.8    1.0
FRB 3046   373.3  35    288.3  0.306    25.3    2.0
FRB 3048   110.0  35     25.0  0.013    34.5    4.0
FRB 3051   384.8  35    299.8  0.080    26.8    2.0
FRB 3054   349.9  35    264.9  0.206    71.3    2.0
FRB 3055   150.9  35     65.9  0.031    26.2    2.0
FRB 3056   242.7  35    157.7  0.066   142.3    3.0
FRB 3059   406.0  35    321.0  0.265    27.0    3.0
FRB 3062   447.3  35    362.3  0.022    16.7    3.0
FRB 3064   370.8  35    285.8  0.333    19.1    2.0
FRB 3066   368.7  35    283.7  0.369    25.0    2.0
FRB 3068   401.4  35    316.4  0.039    37.5    2.0
FRB 3069   252.8  35    167.8  0.163    16.9    4.0
FRB 3070   228.0  35    143.0  0.118    33.1    4.0
FRB 3072   245.6  35    160.6  0.189    24.1    3.0
FRB 3073   482.6  35    397.6  0.036    15.3    3.0
FRB 3074   505.6  35    420.6  0.293    17.5    2.0
FRB 3075   145.1  35     60.1  0.001    52.2    0.0
FRB 3076   633.6  35    548.6  0.432    14.4    2.0
FRB 3077   329.8  35    244.8  0.258    16.9    3.0
FRB 3078   316.4  35    231.4  0.367    37.8    1.0
FRB 3079   829.6  35    744.6  0.397    35.1    3.0
FRB 3080   143.0  35     58.0  0.001    24.5    4.0
FRB 3081   198.3  35    113.3  0.045    23.1    3.0
FRB 3082   257.8  35    172.8  0.103    19.0    2.0
FRB 3083   268.5  35    183.5  0.296    23.1    3.0
FRB 3084   229.7  35    144.7  0.057   242.2    3.0
FRB 3086   130.0  35     45.0  0.026    31.3    4.0
FRB 3087   370.4  35    285.4  0.383    16.6    0.0
FRB 3088   242.0  35    157.0  0.241    14.8    0.0
FRB 3089   482.4  35    397.4  0.166    39.1    2.0
FRB 3091   555.1  35    470.1  0.550    15.7    1.0
FRB 3092   589.0  35    504.0  0.601    19.3    2.0
FRB 3095   424.0  35    339.0  0.108    14.3    4.0
FRB 3097   381.0  35    296.0  0.370    20.7    2.0
FRB 3098   309.2  35    224.2  0.301    28.6    4.0
FRB 3111   651.6  35    566.6  0.421    15.9    3.0
FRB 3112   927.0  35    842.0  0.391    25.2    4.0
FRB 3113   363.0  35    278.0  0.197    23.1    2.0
FRB 3114   314.4  35    229.4  0.256   118.6    2.0
FRB 3115   206.9  35    121.9  0.181    14.4    2.0
FRB 3116   461.3  35    376.3  0.341    18.2    2.0
FRB 3117   327.2  35    242.2  0.124    20.6    2.0
FRB 3123   457.2  35    372.2  0.432    20.1    0.0
FRB 3124   290.3  35    205.3  0.186    50.8    1.0
FRB 3125   331.1  35    246.1  0.102    27.9    1.0
FRB 3126  1091.9  35   1006.9  0.005    25.2    1.0
FRB 3127   362.1  35    277.1  0.334    14.6    4.0
FRB 3128   144.3  35     59.3  0.051    22.1    3.0
FRB 3130   191.5  35    106.5  0.056    41.5    3.0
FRB 3131   416.2  35    331.2  0.333    14.2    3.0
FRB 3134   239.5  35    154.5  0.042    79.2    2.0
FRB 3135   329.3  35    244.3  0.123    30.0    3.0
FRB 3137   470.5  35    385.5  0.455    22.2    2.0
FRB 3139   459.5  35    374.5  0.184    23.6    2.0
FRB 3142   524.0  35    439.0  0.118   207.8    2.0
FRB 3145   425.2  35    340.2  0.102    15.7    4.0
FRB 3148   239.4  35    154.4  0.139    21.4    4.0
FRB 3150   724.9  35    639.9  0.194    23.6    3.0
FRB 3154   622.6  35    537.6  0.150    17.5    1.0
FRB 3155   251.5  35    166.5  0.201    38.0    3.0
FRB 3156   620.2  35    535.2  0.212    22.5    4.0
FRB 3157   374.1  35    289.1  0.197    14.7    2.0
FRB 3164   690.1  35    605.1  0.332    18.4    1.0
FRB 3166   306.3  35    221.3  0.227    39.1    2.0
FRB 3167   501.9  35    416.9  0.557    14.1    1.0
FRB 3168   401.9  35    316.9  0.143    21.8    1.0
FRB 3169   289.8  35    204.8  0.012    21.2    2.0
FRB 3172   261.3  35    176.3  0.221    38.2    4.0
FRB 3174   626.3  35    541.3  0.368    73.2    2.0
FRB 3175   171.3  35     86.3  0.064    47.6    3.0
FRB 3181   164.7  35     79.7  0.135    14.3    2.0
FRB 3182   261.6  35    176.6  0.206    21.1    2.0
FRB 3184   440.8  35    355.8  0.398    14.0    0.0
FRB 3185   386.5  35    301.5  0.373    15.9    1.0
FRB 3188   553.3  35    468.3  0.174    20.0    3.0
FRB 3190   461.6  35    376.6  0.157    15.7    2.0
FRB 3191   440.4  35    355.4  0.429    55.7    2.0
FRB 3194   572.8  35    487.8  0.385    14.5    3.0
FRB 3197   642.4  35    557.4  0.215   131.7    2.0
FRB 3198   207.5  35    122.5  0.047    32.6    5.0
FRB 3199   177.3  35     92.3  0.062   385.4    2.0
FRB 3201   742.6  35    657.6  0.339    27.1    3.0
FRB 3204   674.6  35    589.6  0.476    19.1    2.0
FRB 3205   265.7  35    180.7  0.197   164.1    2.0
FRB 3206  1340.4  35   1255.4  0.300    24.5    3.0
FRB 3208   505.2  35    420.2  0.274    41.5    2.0
FRB 3210   339.3  35    254.3  0.109   118.1    4.0
FRB 3216   683.8  35    598.8  0.187    15.2    2.0
FRB 3219   414.7  35    329.7  0.238    17.4    5.0
FRB 3221   327.0  35    242.0  0.245    20.1    1.0
FRB 3222   870.0  35    785.0  0.448    16.3    1.0
FRB 3224   249.3  35    164.3  0.154    20.6    3.0
FRB 3225   160.7  35     75.7  0.009    19.7    4.0
FRB 3227   177.4  35     92.4  0.091    18.4    5.0
FRB 3228   291.9  35    206.9  0.002    48.1    5.0
FRB 3229   190.5  35    105.5  0.025    19.2    2.0
FRB 3230   502.3  35    417.3  0.479    30.8    2.0
FRB 3232   367.5  35    282.5  0.022    31.6    3.0
FRB 3235   854.4  35    769.4  0.010    16.6    3.0
FRB 3237  1060.0  35    975.0  0.044    61.2    3.0
FRB 3238   631.8  35    546.8  0.421    19.4    3.0
FRB 3239   209.4  35    124.4  0.166    24.8    3.0
FRB 3240   370.8  35    285.8  0.228    27.2    2.0
FRB 3241   351.3  35    266.3  0.004    24.3    2.0
FRB 3242   432.2  35    347.2  0.455    24.6    2.0
FRB 3244   276.1  35    191.1  0.127    36.9    3.0
FRB 3245   455.2  35    370.2  0.451    20.8    4.0
FRB 3246   241.1  35    156.1  0.269    17.7    1.0
FRB 3248   435.4  35    350.4  0.356    22.2    4.0
FRB 3249   291.9  35    206.9  0.217    15.1    1.0
FRB 3250   545.2  35    460.2  0.380    31.5    2.0
FRB 3254   284.9  35    199.9  0.267    15.7    2.0
FRB 3258   309.6  35    224.6  0.086    22.9    3.0
FRB 3259   211.1  35    126.1  0.044    21.1    2.0
FRB 3261   221.8  35    136.8  0.078    23.9    2.0
FRB 3262   483.5  35    398.5  0.515    65.7    1.0
FRB 3268   510.9  35    425.9  0.245    15.3    1.0
FRB 3269   288.7  35    203.7  0.208    73.0    3.0
FRB 3271  1158.2  35   1073.2  0.618    16.6    3.0
FRB 3275   457.2  35    372.2  0.202    56.3    0.0
FRB 3277  1995.9  35   1910.9  0.467    41.3    2.0
FRB 3278   805.5  35    720.5  0.018    18.5    5.0
FRB 3280   727.8  35    642.8  0.628    46.8    2.0
FRB 3281   301.1  35    216.1  0.045   104.0    1.0
FRB 3282   512.6  35    427.6  0.593    18.7    1.0
FRB 3283   593.0  35    508.0  0.195    17.5    2.0
FRB 3284   439.4  35    354.4  0.123    42.9    4.0
FRB 3285   454.2  35    369.2  0.414    44.4    2.0
FRB 3286   545.5  35    460.5  0.427    20.9    3.0
FRB 3287   542.4  35    457.4  0.131    26.1    4.0
FRB 3288   240.0  35    155.0  0.098    19.2    3.0
FRB 3289   162.8  35     77.8  0.017    25.8    3.0
FRB 3290   194.1  35    109.1  0.032    26.6    2.0
FRB 3292   383.7  35    298.7  0.306    15.1    1.0
FRB 3294   286.0  35    201.0  0.021    95.3    3.0
FRB 3296   242.7  35    157.7  0.075    64.4    3.0
FRB 3298   199.3  35    114.3  0.155    71.9    1.0
FRB 3300   401.7  35    316.7  0.040    22.8    2.0
FRB 3302   339.7  35    254.7  0.244    14.3    2.0
FRB 3307   873.5  35    788.5  0.090    16.7    1.0
FRB 3309   258.2  35    173.2  0.175    16.0    1.0
FRB 3310   265.5  35    180.5  0.165    80.7    2.0
FRB 3311  1980.2  35   1895.2  0.209    20.5    3.0
FRB 3312  1037.8  35    952.8  0.234    78.1    4.0
FRB 3313   344.7  35    259.7  0.173    17.9    1.0
FRB 3314   700.0  35    615.0  0.422    16.1    3.0
FRB 3317   464.6  35    379.6  0.111   921.3    2.0
FRB 3319   502.3  35    417.3  0.340    16.6    2.0
FRB 3323   351.7  35    266.7  0.246    14.6    1.0
FRB 3325   213.8  35    128.8  0.042    21.4    1.0
FRB 3326   905.6  35    820.6  0.449    33.6    2.0
FRB 3327   603.0  35    518.0  0.125    15.8    3.0
FRB 3328   134.7  35     49.7  0.070    79.1    3.0
FRB 3329   478.8  35    393.8  0.499    23.8    1.0
FRB 3331   221.4  35    136.4  0.019   111.6    3.0
FRB 3332   271.0  35    186.0  0.181    28.0    2.0
FRB 3333   377.6  35    292.6  0.295    20.7    3.0
FRB 3335   793.0  35    708.0  0.621    14.4    2.0
FRB 3337   217.8  35    132.8  0.063    38.7    2.0
FRB 3338   782.8  35    697.8  0.018    17.5    3.0
FRB 3339   523.9  35    438.9  0.490    16.4    2.0
FRB 3340   159.3  35     74.3  0.106    48.6    2.0
FRB 3341   381.4  35    296.4  0.130    62.1    4.0
FRB 3344   259.0  35    174.0  0.196    19.0    2.0
FRB 3345  1022.8  35    937.8  0.405    17.7    2.0
FRB 3347   325.0  35    240.0  0.275    19.4    2.0
FRB 3350   100.8  35     15.8  0.010    23.9    4.0
